,2013_01_01_EVI,2013_01_17_EVI,2013_02_02_EVI,2013_02_18_EVI,2013_03_06_EVI,2013_03_22_EVI,2013_04_07_EVI,2013_04_23_EVI,2013_05_09_EVI,2013_05_25_EVI,2013_06_10_EVI,2013_06_26_EVI,2013_07_12_EVI,2013_07_28_EVI,2013_08_13_EVI,2013_08_29_EVI,2013_09_14_EVI,2013_09_30_EVI,2013_10_16_EVI,2013_11_01_EVI,2013_11_17_EVI,2013_12_03_EVI,2013_12_19_EVI,2014_01_01_EVI,2014_01_17_EVI,2014_02_02_EVI,2014_02_18_EVI,2014_03_06_EVI,2014_03_22_EVI,2014_04_07_EVI,2014_04_23_EVI,2014_05_09_EVI,2014_05_25_EVI,2014_06_10_EVI,2014_06_26_EVI,2014_07_12_EVI,2014_07_28_EVI,2014_08_13_EVI,2014_08_29_EVI,2014_09_14_EVI,2014_09_30_EVI,2014_10_16_EVI,2014_11_01_EVI,2014_11_17_EVI,2014_12_03_EVI,2014_12_19_EVI,2015_01_01_EVI,2015_01_17_EVI,2015_02_02_EVI,2015_02_18_EVI,2015_03_06_EVI,2015_03_22_EVI,2015_04_07_EVI,2015_04_23_EVI,2015_05_09_EVI,2015_05_25_EVI,2015_06_10_EVI,2015_06_26_EVI,2015_07_12_EVI,2015_07_28_EVI,2015_08_13_EVI,2015_08_29_EVI,2015_09_14_EVI,2015_09_30_EVI,2015_10_16_EVI,2015_11_01_EVI,2015_11_17_EVI,2015_12_03_EVI,2015_12_19_EVI,2016_01_01_EVI,2016_01_17_EVI,2016_02_02_EVI,2016_02_18_EVI,2016_03_05_EVI,2016_03_21_EVI,2016_04_06_EVI,2016_04_22_EVI,2016_05_08_EVI,2016_05_24_EVI,2016_06_09_EVI,2016_06_25_EVI,2016_07_11_EVI,2016_07_27_EVI,2016_08_12_EVI,2016_08_28_EVI,2016_09_13_EVI,2016_09_29_EVI,2016_10_15_EVI,2016_10_31_EVI,2016_11_16_EVI,2016_12_02_EVI,2016_12_18_EVI,2017_01_01_EVI,2017_01_17_EVI,2017_02_02_EVI,2017_02_18_EVI,2017_03_06_EVI,2017_03_22_EVI,2017_04_07_EVI,2017_04_23_EVI,2017_05_09_EVI,2017_05_25_EVI,2017_06_10_EVI,2017_06_26_EVI,2017_07_12_EVI,2017_07_28_EVI,2017_08_13_EVI,2017_08_29_EVI,2017_09_14_EVI,2017_09_30_EVI,2017_10_16_EVI,2017_11_01_EVI,2017_11_17_EVI,2017_12_03_EVI,2017_12_19_EVI,2018_01_01_EVI,2018_01_17_EVI,2018_02_02_EVI,2018_02_18_EVI,2018_03_06_EVI,2018_03_22_EVI,2018_04_07_EVI,2018_04_23_EVI,2018_05_09_EVI,2018_05_25_EVI,2018_06_10_EVI,2018_06_26_EVI,2018_07_12_EVI,2018_07_28_EVI,2018_08_13_EVI,2018_08_29_EVI,2018_09_14_EVI,2018_09_30_EVI,2018_10_16_EVI,2018_11_01_EVI,2018_11_17_EVI,2018_12_03_EVI,2018_12_19_EVI,2019_01_01_EVI,2019_01_17_EVI,2019_02_02_EVI,2019_02_18_EVI,2019_03_06_EVI,2019_03_22_EVI,2019_04_07_EVI,2019_04_23_EVI,2019_05_09_EVI,2019_05_25_EVI,2019_06_10_EVI,2019_06_26_EVI,2019_07_12_EVI,2019_07_28_EVI,2019_08_13_EVI,2019_08_29_EVI,2019_09_14_EVI,2019_09_30_EVI,2019_10_16_EVI,2019_11_01_EVI,2019_11_17_EVI,2019_12_03_EVI,2019_12_19_EVI,2020_01_01_EVI,2020_01_17_EVI,2020_02_02_EVI,2020_02_18_EVI,2020_03_05_EVI,2020_03_21_EVI,2020_04_06_EVI,2020_04_22_EVI,2020_05_08_EVI,2020_05_24_EVI,2020_06_09_EVI,2020_06_25_EVI,2020_07_11_EVI,2020_07_27_EVI,2020_08_12_EVI,2020_08_28_EVI,2020_09_13_EVI,2020_09_29_EVI,2020_10_15_EVI,2020_10_31_EVI,2020_11_16_EVI,2020_12_02_EVI,2020_12_18_EVI,system:index
0,0.258,0.389,0.466,0.464125,0.468875,0.424875,0.320125,0.311375,0.423875,0.4685,0.715,0.656,0.628375,0.236625,0.191,0.34325,0.559125,0.61025,0.58825,0.40375,0.330625,0.28075,0.371,0.46525,0.571375,0.574,0.533125,0.350875,0.3415,0.26525,0.335875,0.399125,0.511125,0.45425,0.5655,0.494,0.377875,0.2865,0.34825,0.546375,0.549,0.508,0.512125,0.322625,0.26975,0.31375,0.389125,0.473125,0.50225,0.446625,0.527,0.347625,0.337875,0.3735,0.464875,0.376,0.636125,0.26175,0.603875,0.416875,0.158375,0.362,0.586625,0.669125,0.577875,0.48225,0.331875,0.294,0.28275,0.41925,0.460375,0.470375,0.547875,0.3545,0.321625,0.33125,0.304375,0.444875,0.422,0.55,0.396375,0.610875,0.4445,0.18825,0.20575,0.67375,0.672125,0.63225,0.437,0.34275,0.33575,0.262625,0.414,0.56875,0.59425,0.536,0.3615,0.398875,0.29225,0.30925,0.449875,0.57575,0.667375,0.48325,0.206125,0.28475,0.24525,0.502,0.443,0.665,0.553375,0.420125,0.29175,0.307625,0.337375,0.337375,0.357,0.719875,0.48925,0.524,0.4345,0.403125,0.4105,0.348,0.593375,0.447125,0.69075,0.55525,0.3785,0.367375,0.31425,0.39475,0.556375,0.542125,0.39175,0.37275,0.273125,0.33975,0.34525,0.532,0.536125,0.57175,0.561875,0.347625,0.427375,0.455625,0.31325,0.39675,0.51275,0.509625,0.4225,0.493875,0.27925,0.264625,0.514375,0.65275,0.610875,0.451375,0.32175,0.292875,0.303875,0.395875,0.48425,0.52875,0.60375,0.529125,0.48575,0.411125,0.338125,0.30875,0.45725,0.355875,0.619875,0.361875,0.43775,0.32675,0.31075,0.454875,0.594125,0.6175,0.499,0.358375,0.333875,0.316625,0.0
1,0.258,0.389,0.466,0.464125,0.468875,0.424875,0.320125,0.311375,0.423875,0.4685,0.715,0.656,0.628375,0.236625,0.191,0.34325,0.559125,0.61025,0.58825,0.40375,0.330625,0.28075,0.371,0.46525,0.571375,0.574,0.533125,0.350875,0.3415,0.26525,0.335875,0.399125,0.511125,0.45425,0.5655,0.494,0.377875,0.2865,0.34825,0.546375,0.549,0.508,0.512125,0.322625,0.26975,0.31375,0.389125,0.473125,0.50225,0.446625,0.527,0.347625,0.337875,0.3735,0.464875,0.376,0.636125,0.26175,0.603875,0.416875,0.158375,0.362,0.586625,0.669125,0.577875,0.48225,0.331875,0.294,0.28275,0.41925,0.460375,0.470375,0.547875,0.3545,0.321625,0.33125,0.304375,0.444875,0.422,0.55,0.396375,0.610875,0.4445,0.18825,0.20575,0.67375,0.672125,0.63225,0.437,0.34275,0.33575,0.262625,0.414,0.56875,0.59425,0.536,0.3615,0.398875,0.29225,0.30925,0.449875,0.57575,0.667375,0.48325,0.206125,0.28475,0.24525,0.502,0.443,0.665,0.553375,0.420125,0.29175,0.307625,0.337375,0.337375,0.357,0.719875,0.48925,0.524,0.4345,0.403125,0.4105,0.348,0.593375,0.447125,0.69075,0.55525,0.3785,0.367375,0.31425,0.39475,0.556375,0.542125,0.39175,0.37275,0.273125,0.33975,0.34525,0.532,0.536125,0.57175,0.561875,0.347625,0.427375,0.455625,0.31325,0.39675,0.51275,0.509625,0.4225,0.493875,0.27925,0.264625,0.514375,0.65275,0.610875,0.451375,0.32175,0.292875,0.303875,0.395875,0.48425,0.52875,0.60375,0.529125,0.48575,0.411125,0.338125,0.30875,0.45725,0.355875,0.619875,0.361875,0.43775,0.32675,0.31075,0.454875,0.594125,0.6175,0.499,0.358375,0.333875,0.316625,0.000125
2,0.26675,0.2515,0.303625,0.361375,0.21825,0.249125,0.21,0.307,0.260125,0.455375,0.137625,0.78175,0.751875,0.665875,0.619125,0.426625,0.147,0.51025,0.397875,0.405625,0.358125,0.27725,0.281875,0.288,0.303625,0.333125,0.280625,0.25475,0.25125,0.41475,0.276375,0.3555,0.481625,0.39,0.538,0.422125,0.87825,0.19325,0.456125,0.552625,0.505375,0.502625,0.51675,0.3185,0.355125,0.353,0.33075,0.325375,0.31825,0.257875,0.22875,0.275375,0.29175,0.4205,0.4885,0.58875,0.680875,0.58825,0.659125,0.42125,0.4785,0.48025,0.54525,0.535875,0.461375,0.38775,0.41675,0.330625,0.232875,0.252125,0.291125,0.23625,0.28,0.276,0.32125,0.40075,0.344125,0.493875,0.441875,0.6185,0.68825,0.48925,0.43925,0.529,0.6055,0.49325,0.52625,0.525625,0.509875,0.425875,0.3765,0.270625,0.28425,0.20325,0.249125,0.21975,0.333625,0.2795,0.2415,0.249875,0.475875,0.634875,0.644125,0.365625,0.57275,0.461375,0.237125,0.521625,0.436,0.516625,0.443375,0.387125,0.39525,0.318125,0.344125,0.343,0.303375,0.2825,0.229875,0.247125,0.23375,0.317125,0.374875,0.2845,0.537375,0.388125,0.822125,0.588125,0.371,0.73775,0.3925,0.59825,0.45875,0.49425,0.503625,0.418875,0.331125,0.33675,0.366375,0.2835,0.3265,0.28325,0.26425,0.359375,0.35625,0.376625,0.475125,0.484,0.44075,0.760125,0.442,0.497875,0.701875,0.491125,0.495625,0.683375,0.359,0.490375,0.40275,0.3605,0.381875,0.337125,0.336625,0.382625,0.32625,0.297875,0.331375,0.306,0.5075,0.41,0.512875,0.579875,0.666625,0.232125,0.249125,0.239625,0.32075,0.4725,0.519375,0.58325,0.510125,0.444875,0.4055,0.409125,0.00025
3,0.275125,0.38775,0.464125,0.514625,0.4585,0.39175,0.335625,0.409625,0.50975,0.62625,0.762,0.33525,0.43075,0.41075,0.25825,0.571625,0.842375,0.662375,0.836875,0.397375,0.20075,0.26025,0.361,0.369875,0.57075,0.591875,0.52575,0.354125,0.311875,0.286,0.346875,0.58325,0.70975,0.5645,0.574625,0.487375,0.298375,0.215375,0.45775,0.726375,0.688375,0.601875,0.476375,0.224125,0.247125,0.314375,0.441875,0.56875,0.561125,0.477,0.389625,0.311125,0.325125,0.4805,0.6145,0.515375,0.51825,0.644875,0.758625,0.18475,0.173375,0.43475,0.862375,0.706,0.643375,0.46975,0.29675,0.201875,0.285,0.385125,0.599,0.57425,0.4955,0.32775,0.34125,0.280875,0.3235,0.58225,0.52175,0.825125,0.5995,0.243625,0.309875,0.189,0.3005,0.774375,0.798125,0.661,0.380625,0.25,0.2195,0.248875,0.39475,0.49225,0.53225,0.41225,0.340875,0.323625,0.31625,0.538375,0.6485,0.656,0.805125,0.229625,0.423125,0.1575,0.21525,0.525,0.7585,0.73175,0.75475,0.452,0.234125,0.29275,0.395875,0.395875,0.386,0.603375,0.43975,0.559,0.49,0.466,0.475375,0.461125,0.501625,0.503625,0.603375,0.6155,0.248875,0.19825,0.457125,0.87325,0.791875,0.612625,0.57625,0.241875,0.255125,0.419125,0.419125,0.498,0.457875,0.406875,0.443875,0.439625,0.446,0.467375,0.37675,0.5545,0.620875,0.57625,0.282125,0.163875,0.294625,0.412,0.732875,0.8025,0.496875,0.51125,0.252875,0.303375,0.350625,0.44675,0.518375,0.544,0.53825,0.510875,0.46125,0.404625,0.463625,0.59975,0.64025,0.289875,0.345125,0.2105,0.25725,0.22275,0.588,0.722125,0.4275,0.652,0.399125,0.27125,0.3165,0.34825,0.000375
4,0.275125,0.38775,0.464125,0.514625,0.4585,0.39175,0.335625,0.409625,0.50975,0.62625,0.762,0.33525,0.43075,0.41075,0.25825,0.571625,0.842375,0.662375,0.836875,0.397375,0.20075,0.26025,0.361,0.369875,0.57075,0.591875,0.52575,0.354125,0.311875,0.286,0.346875,0.58325,0.70975,0.5645,0.574625,0.487375,0.298375,0.215375,0.45775,0.726375,0.688375,0.601875,0.476375,0.224125,0.247125,0.314375,0.441875,0.56875,0.561125,0.477,0.389625,0.311125,0.325125,0.4805,0.6145,0.515375,0.51825,0.644875,0.758625,0.18475,0.173375,0.43475,0.862375,0.706,0.643375,0.46975,0.29675,0.201875,0.285,0.385125,0.599,0.57425,0.4955,0.32775,0.34125,0.280875,0.3235,0.58225,0.52175,0.825125,0.5995,0.243625,0.309875,0.189,0.3005,0.774375,0.798125,0.661,0.380625,0.25,0.2195,0.248875,0.39475,0.49225,0.53225,0.41225,0.340875,0.323625,0.31625,0.538375,0.6485,0.656,0.805125,0.229625,0.423125,0.1575,0.21525,0.525,0.7585,0.73175,0.75475,0.452,0.234125,0.29275,0.395875,0.395875,0.386,0.603375,0.43975,0.559,0.49,0.466,0.475375,0.461125,0.501625,0.503625,0.603375,0.6155,0.248875,0.19825,0.457125,0.87325,0.791875,0.612625,0.57625,0.241875,0.255125,0.419125,0.419125,0.498,0.457875,0.406875,0.443875,0.439625,0.446,0.467375,0.37675,0.5545,0.620875,0.57625,0.282125,0.163875,0.294625,0.412,0.732875,0.8025,0.496875,0.51125,0.252875,0.303375,0.350625,0.44675,0.518375,0.544,0.53825,0.510875,0.46125,0.404625,0.463625,0.59975,0.64025,0.289875,0.345125,0.2105,0.25725,0.22275,0.588,0.722125,0.4275,0.652,0.399125,0.27125,0.3165,0.34825,0.0005
5,0.251125,0.386125,0.461125,0.471375,0.441375,0.325625,0.376375,0.301375,0.38025,0.308875,0.368,0.79425,0.702625,0.792125,0.54125,0.399625,0.176625,0.476,0.544875,0.437125,0.33,0.386125,0.28225,0.37275,0.5045,0.5665,0.606375,0.408875,0.370125,0.293625,0.2315,0.291,0.310875,0.3285,0.289375,0.594375,0.39675,0.162,0.297,0.53125,0.622875,0.601625,0.627125,0.313125,0.26725,0.27575,0.4455,0.493375,0.431625,0.56175,0.464375,0.317,0.3725,0.384625,0.379625,0.307375,0.054,0.484625,0.452625,0.181375,0.358875,0.39575,0.36925,0.403625,0.55875,0.414,0.386,0.26275,0.257875,0.305125,0.4945,0.424875,0.427875,0.412375,0.33675,0.39875,0.339625,0.308,0.329625,0.443,0.609625,0.48075,0.320875,0.13425,0.289125,0.42175,0.5235,0.66975,0.383125,0.28475,0.3,0.226125,0.4265,0.56325,0.608375,0.559375,0.35975,0.408375,0.322875,0.40875,0.49575,0.34225,0.4465,0.329875,0.4515,0.15,0.23125,0.266625,0.481375,0.38775,0.53125,0.5565,0.25725,0.243625,0.33525,0.243875,0.24575,0.50575,0.589,0.417375,0.415625,0.413875,0.43825,0.29625,0.089875,0.26625,0.221,0.89025,0.120625,0.16875,0.42275,0.508375,0.461875,0.5055,0.65725,0.300625,0.2805,0.333875,0.3155,0.558375,0.560125,0.631375,0.42625,0.443875,0.332,0.3835,0.43225,0.387,0.441625,0.503125,0.368125,0.29975,0.366125,0.500125,0.492625,0.657375,0.499625,0.4,0.28825,0.273875,0.313125,0.543875,0.676125,0.6005,0.557875,0.431875,0.3905,0.3405,0.425375,0.273,0.289125,0.175875,0.670125,0.343,0.28725,0.51425,0.307125,0.4525,0.619625,0.631375,0.40025,0.310375,0.259625,0.442875,0.000625
6,0.32275,0.414625,0.604125,0.52425,0.44025,0.34625,0.29525,0.403625,0.512625,0.519,0.816875,0.534375,0.626,0.476625,0.211375,0.508375,0.792,0.649,0.74375,0.4505,0.213875,0.26825,0.336625,0.434,0.56725,0.645625,0.59775,0.411,0.36125,0.33825,0.389375,0.573125,0.613375,0.6345,0.56625,0.638,0.56325,0.42075,0.34075,0.751125,0.656875,0.632125,0.530375,0.23475,0.26375,0.29525,0.397625,0.426125,0.67125,0.457125,0.390375,0.316125,0.349625,0.45875,0.604875,0.5465,0.593,0.37625,0.38125,0.17425,0.315625,0.4755,0.832375,0.679,0.623875,0.4345,0.32475,0.246875,0.334125,0.374375,0.633375,0.476875,0.42525,0.35575,0.322625,0.41525,0.398,0.580875,0.571,0.7985,0.265,0.43575,0.374625,0.350625,,0.70425,0.78875,0.658875,0.4225,0.267875,0.209375,0.2515,0.48375,0.56975,0.60475,0.500125,0.331,0.337875,0.282,0.5515,0.63925,0.64775,0.753375,0.278625,0.558,0.366125,0.23,0.70925,0.729625,0.8355,0.78425,0.471,0.198,0.28675,0.455125,0.455125,0.494125,0.727875,0.49225,0.43225,0.343375,0.48475,0.513875,0.3725,0.70725,0.62,0.659125,0.362625,0.203,0.31875,0.438875,0.845625,0.783375,0.633875,0.56875,0.222125,0.25525,0.4305,0.5025,0.669,0.56575,0.448,0.458875,0.410125,0.477,0.480125,0.519,0.536125,0.842875,0.505875,0.64,0.72175,0.367,0.31625,0.78625,0.817125,0.627625,0.72075,0.24875,0.213625,0.35675,0.49125,0.59275,0.69625,0.604875,0.560625,0.44975,0.310625,0.438375,0.592125,0.72575,0.335875,0.541125,0.264875,0.205875,0.212,0.605625,0.72325,0.72625,0.654875,0.4885,0.258625,0.321375,0.32975,0.00075
7,0.2805,0.38475,0.505875,0.462875,0.3645,0.332125,0.29525,0.34925,0.403375,0.5255,0.74075,0.56825,0.61375,0.4565,0.211375,0.565,0.813375,0.707,0.70875,0.3605,0.213875,0.296,0.312625,0.383625,0.56725,0.535375,0.529125,0.32475,0.2915,0.27125,0.308125,0.53025,0.613375,0.48825,0.56625,0.667,0.56325,0.419875,0.34075,0.718125,0.641,0.619625,0.495125,0.236625,0.251875,0.31425,0.4015,0.461875,0.455375,0.457125,0.358,0.290625,0.308625,0.480375,0.638,0.565,0.72275,0.400375,0.587,0.17425,0.3185,0.510375,0.783125,0.652,0.623875,0.4345,0.303,0.232125,0.28925,0.364,0.633375,0.4965,0.352,0.268875,0.273875,0.305375,0.42325,0.636,0.571,0.7985,0.25875,0.510375,0.368,0.362875,,0.809125,0.782125,0.654375,0.4355,0.35525,0.27025,0.22325,0.44125,0.5265,0.491625,0.44875,0.331,0.3135,0.291,0.582375,0.629375,0.64775,0.776,0.267125,0.5475,0.38125,0.243875,0.693,0.729625,0.831375,0.747875,0.506625,0.18375,0.263125,0.380125,0.380125,0.43875,0.69075,0.45875,0.376125,0.343375,0.45525,0.55025,0.47425,0.56425,0.582,0.715,0.29775,0.16575,0.236375,0.438875,0.845625,0.695375,0.6405,0.58425,0.245,0.25525,0.409,0.443375,0.495375,0.56575,0.4855,0.473375,0.417125,0.448875,0.480125,0.4875,0.54425,0.853375,0.268625,0.558,0.738875,0.367,0.325375,0.690125,0.828875,0.627625,0.6645,0.248875,0.207,0.35225,0.481875,0.56775,0.666,0.508375,0.560625,0.45975,0.376125,0.438375,0.62025,0.721,0.335875,0.571625,0.264875,0.212625,0.2665,0.605625,0.72325,0.72375,0.646875,0.4115,0.258625,0.321375,0.38125,0.000875
8,0.260125,0.35,0.472375,0.5795,0.40475,0.340875,0.353,0.369,0.42775,0.65325,0.782125,0.56825,0.54175,0.21625,0.196875,0.486625,0.913125,0.746,0.75675,0.440125,0.1675,0.24575,0.305,0.440875,0.620875,0.61425,0.553875,0.366,0.356875,0.29425,0.324,0.53025,0.683125,0.608,0.526375,0.5785,0.56925,0.30175,0.371875,0.718125,0.73975,0.6795,0.55425,0.236625,0.224375,0.241125,0.454125,0.54275,0.585375,0.457125,0.414375,0.339375,0.379,0.499875,0.635375,0.5465,0.593,0.37625,0.368375,0.11425,0.319125,0.510375,0.789875,0.7335,0.64925,0.4125,0.24625,0.176375,0.31825,0.449375,0.629,0.620125,0.423875,0.323125,0.283625,0.3285,0.42325,0.574625,0.571,0.85075,0.249,0.433875,0.368,0.2395,,0.776125,0.749875,0.782125,0.3945,0.273375,0.209375,0.250875,0.407,0.595875,0.60475,0.4235,0.324875,0.350125,0.328125,0.55425,0.685375,0.71725,0.788875,0.278625,0.5475,0.268625,0.2915,0.692,0.683875,0.884,0.7855,0.471,0.183375,0.29675,0.37775,0.410375,0.47875,0.693125,0.481125,0.4895,0.4035,0.485125,0.5325,0.342125,0.701125,0.633875,0.823375,0.47275,0.13375,0.281,0.426625,0.838,0.802625,0.6405,0.58425,0.202,0.22275,0.47325,0.47325,0.669,0.619375,0.533,0.43175,0.370125,0.403875,0.4485,0.533,0.634125,0.769125,0.205,0.47375,0.61825,0.264375,0.421375,0.78725,0.80525,0.546375,0.709625,0.21125,0.1725,0.33675,0.486875,0.55825,0.702125,0.604875,0.560625,0.397125,0.3695,0.438375,0.628125,0.72975,0.32375,0.571625,0.1585,0.162375,0.243375,0.651875,0.793375,0.7535,0.6635,0.454,0.208125,0.290375,0.315,0.001
9,0.255625,0.33325,0.392125,0.417,0.521375,0.416,0.4055,0.38,0.39675,0.519375,0.684125,0.638,0.360375,0.48975,0.197125,0.53775,0.933125,0.699125,0.5815,0.542375,0.2605,0.333125,0.363625,0.334625,0.413125,0.46625,0.487125,0.546625,0.506125,0.444625,0.433125,0.46075,0.57725,0.505,0.53375,0.620375,0.535375,0.215875,0.671375,0.657625,0.695125,0.563,0.540375,0.35225,0.293,0.2325,0.306125,0.326125,0.4045,0.51175,0.484375,0.411125,0.51825,0.351125,0.404,0.4875,0.364375,0.497875,0.4565,0.212625,0.3775,0.5135,0.7085,0.693875,0.54075,0.42275,0.321375,0.25175,0.326375,0.308875,0.415875,0.378375,0.518125,0.47475,0.56975,0.432,0.31075,0.40925,0.507375,0.4075,0.50175,0.203375,0.568375,0.28775,0.350125,0.450125,0.729,0.746875,0.377,0.332125,0.340875,0.271125,0.40625,0.407125,0.473125,0.406125,0.44425,0.43525,0.368125,0.47125,0.508375,0.599125,0.6815,0.54575,0.523,0.439875,0.2645,0.499125,0.7105,0.67625,0.7045,0.48875,0.338375,0.352125,0.352875,0.352875,0.28425,0.528125,0.451,0.593875,0.51975,0.50525,0.436625,0.407875,0.693375,0.485375,0.5685,0.633375,0.1135,0.487875,0.520625,0.79025,0.688125,0.627125,0.462625,0.33475,0.262875,0.319625,0.3395,0.438,0.425875,0.4315,0.45925,0.497,0.51825,0.484875,0.38175,0.505625,0.676125,0.281125,0.686625,0.68125,0.233875,0.374875,0.681,0.730625,0.449875,0.509,0.301125,0.324375,0.3045,0.364375,0.418875,0.48975,0.470125,0.554375,0.518,0.42225,0.445875,0.510125,0.528375,0.2275,0.400875,0.245875,0.25075,0.25575,0.653,0.68075,0.9415,0.626125,0.43525,0.257625,0.319625,0.2935,0.001125
10,0.292375,0.38775,0.467,0.550125,0.421125,0.375125,0.352875,0.36925,0.381,0.477875,0.6435,0.449375,0.320625,0.276125,0.36625,0.573375,0.601875,0.57425,0.551375,0.373625,0.259375,0.383125,0.349375,0.393,0.5065,0.466375,0.455,0.336,0.336125,0.342125,0.305375,0.32275,0.40125,0.429875,0.279875,0.41325,0.3915,0.263875,0.231875,0.6265,0.566125,0.504125,0.404875,0.2575,0.266875,0.31925,0.425,0.518375,0.407125,0.42975,0.469625,0.316375,0.417875,0.40125,0.405375,0.583625,0.31525,0.479,0.55525,0.45975,0.292375,0.5405,0.666125,0.572125,0.509875,0.3745,0.292125,0.298625,0.301125,0.376125,0.489875,0.52525,0.434375,0.3375,0.33275,0.371375,0.356375,0.411625,0.44975,0.483875,0.463125,0.569375,0.252875,0.17475,0.455,0.620125,0.66925,0.49275,0.3185,0.309875,0.327625,0.24175,0.487625,0.521375,0.416625,0.366125,0.38875,0.438875,0.337375,0.506875,0.501,0.4735,0.619625,0.555125,0.45725,0.108125,0.377625,0.62075,0.73175,0.53975,0.527375,0.348375,0.301125,0.3245,0.373375,0.373375,0.409625,0.537125,0.448875,0.469375,0.3895,0.448,0.4575,0.365375,0.569125,0.496875,0.62175,0.553625,0.31725,0.290375,0.314375,0.736875,0.552,0.5405,0.383375,0.276,0.27175,0.4085,0.4085,0.494875,0.524125,0.46275,0.45025,0.343625,0.39875,0.493375,0.459375,0.44725,0.493125,0.59525,0.31,0.326,0.479375,0.336875,0.669,0.62575,0.6395,0.40375,0.27325,0.270625,0.326,0.461125,0.49225,0.71725,0.46625,0.438125,0.43975,0.428625,0.41525,0.498875,0.498375,0.412375,0.412375,0.220125,0.5285,0.46475,0.6935,0.5875,0.566875,0.534125,0.351875,0.278,0.32425,0.368,0.00125
11,0.32275,0.414625,0.604125,0.52425,0.44025,0.34625,0.29525,0.403625,0.512625,0.519,0.816875,0.534375,0.626,0.476625,0.211375,0.508375,0.792,0.649,0.74375,0.4505,0.213875,0.26825,0.336625,0.434,0.56725,0.645625,0.59775,0.411,0.36125,0.33825,0.389375,0.573125,0.613375,0.6345,0.56625,0.638,0.56325,0.42075,0.34075,0.751125,0.656875,0.632125,0.530375,0.23475,0.26375,0.29525,0.397625,0.426125,0.67125,0.457125,0.390375,0.316125,0.349625,0.45875,0.604875,0.5465,0.593,0.37625,0.38125,0.17425,0.315625,0.4755,0.832375,0.679,0.623875,0.4345,0.32475,0.246875,0.334125,0.374375,0.633375,0.476875,0.42525,0.35575,0.322625,0.41525,0.398,0.580875,0.571,0.7985,0.265,0.43575,0.374625,0.350625,,0.70425,0.78875,0.658875,0.4225,0.267875,0.209375,0.2515,0.48375,0.56975,0.60475,0.500125,0.331,0.337875,0.282,0.5515,0.63925,0.64775,0.753375,0.278625,0.558,0.366125,0.23,0.70925,0.729625,0.8355,0.78425,0.471,0.198,0.28675,0.455125,0.455125,0.494125,0.727875,0.49225,0.43225,0.343375,0.48475,0.513875,0.3725,0.70725,0.62,0.659125,0.362625,0.203,0.31875,0.438875,0.845625,0.783375,0.633875,0.56875,0.222125,0.25525,0.4305,0.5025,0.669,0.56575,0.448,0.458875,0.410125,0.477,0.480125,0.519,0.536125,0.842875,0.505875,0.64,0.72175,0.367,0.31625,0.78625,0.817125,0.627625,0.72075,0.24875,0.213625,0.35675,0.49125,0.59275,0.69625,0.604875,0.560625,0.44975,0.310625,0.438375,0.592125,0.72575,0.335875,0.541125,0.264875,0.205875,0.212,0.605625,0.72325,0.72625,0.654875,0.4885,0.258625,0.321375,0.32975,0.001375
12,0.260125,0.35,0.472375,0.5795,0.40475,0.340875,0.353,0.369,0.42775,0.65325,0.782125,0.56825,0.54175,0.21625,0.196875,0.486625,0.913125,0.746,0.75675,0.440125,0.1675,0.24575,0.305,0.440875,0.620875,0.61425,0.553875,0.366,0.356875,0.29425,0.324,0.53025,0.683125,0.608,0.526375,0.5785,0.56925,0.30175,0.371875,0.718125,0.73975,0.6795,0.55425,0.236625,0.224375,0.241125,0.454125,0.54275,0.585375,0.457125,0.414375,0.339375,0.379,0.499875,0.635375,0.5465,0.593,0.37625,0.368375,0.11425,0.319125,0.510375,0.789875,0.7335,0.64925,0.4125,0.24625,0.176375,0.31825,0.449375,0.629,0.620125,0.423875,0.323125,0.283625,0.3285,0.42325,0.574625,0.571,0.85075,0.249,0.433875,0.368,0.2395,,0.776125,0.749875,0.782125,0.3945,0.273375,0.209375,0.250875,0.407,0.595875,0.60475,0.4235,0.324875,0.350125,0.328125,0.55425,0.685375,0.71725,0.788875,0.278625,0.5475,0.268625,0.2915,0.692,0.683875,0.884,0.7855,0.471,0.183375,0.29675,0.37775,0.410375,0.47875,0.693125,0.481125,0.4895,0.4035,0.485125,0.5325,0.342125,0.701125,0.633875,0.823375,0.47275,0.13375,0.281,0.426625,0.838,0.802625,0.6405,0.58425,0.202,0.22275,0.47325,0.47325,0.669,0.619375,0.533,0.43175,0.370125,0.403875,0.4485,0.533,0.634125,0.769125,0.205,0.47375,0.61825,0.264375,0.421375,0.78725,0.80525,0.546375,0.709625,0.21125,0.1725,0.33675,0.486875,0.55825,0.702125,0.604875,0.560625,0.397125,0.3695,0.438375,0.628125,0.72975,0.32375,0.571625,0.1585,0.162375,0.243375,0.651875,0.793375,0.7535,0.6635,0.454,0.208125,0.290375,0.315,0.0015
